12:34:08   headertext name fgbooknatsum    Value:
12:34:08   headertext name fgbooksum    Value:
12:34:08   headertext name ccuscode    Value:A3MCL
12:34:08   headertext name cstcode    Value:3
12:34:08   headertext name cpersoncode    Value:A0001
12:34:08   headertext name ccusphone    Value:
12:34:08   headertext name cdepcode    Value:Y01
12:34:08   headertext name csccode    Value:
12:34:08   headertext name cpaycode    Value:
12:34:08   headertext name ccusname    Value:
12:34:08   headertext name iarmoney    Value:0.00
12:34:08   headertext name csocode    Value:S320120800048
12:34:08   headertext name ddate    Value:2012-08-17
12:34:08   headertext name cbustype    Value:普通销售
12:34:08   headertext name ccusoaddress    Value:
12:34:08   headertext name cpayname    Value:
12:34:08   headertext name cstname    Value:国内销售
12:34:08   headertext name ccusabbname    Value:3M材料
12:34:08   headertext name imoney    Value:0.00
12:34:08   headertext name cdepname    Value:总经理
12:34:08   headertext name itaxrate    Value:0.00
12:34:08   headertext name cpersonname    Value:富国平
12:34:08   headertext name cscname    Value:
12:34:08   headertext name iexchrate    Value:1
12:34:08   headertext name cmemo    Value:
12:34:08   headertext name cexch_name    Value:人民币
12:34:08   headertext name dpredatebt    Value:2012-08-17
12:34:08   headertext name dpremodatebt    Value:2012-08-17
12:34:08   headertext name cgatheringplan    Value:
12:34:08   headertext name cgatheringplanname    Value:
12:34:08   headertext name cdefine1    Value:王梓
12:34:08   headertext name dmodifysystime    Value:2012-08-15 15:51:58
12:34:08   headertext name cmodifier    Value:demo
12:34:08   headertext name dmoddate    Value:2012-08-15
12:34:08   headertext name dcreatesystime    Value:2012-08-15 00:00:00
12:34:08   headertext name dclosedate    Value:
12:34:08   headertext name dclosesystime    Value:
12:34:08   headertext name cgathingcode    Value:
12:34:08   headertext name bcashsale    Value:0
12:34:08   headertext name iflowid    Value:1
12:34:08   headertext name cflowname    Value:间接出口
12:34:08   headertext name cchangeverifier    Value:
12:34:08   headertext name dchangeverifydate    Value:
12:34:08   headertext name dchangeverifytime    Value:
12:34:08   headertext name cchanger    Value:
12:34:08   headertext name ccrechpname    Value:
12:34:08   headertext name istatus    Value:1
12:34:08   headertext name zdsumdx    Value:`
12:34:08   headertext name isumdx    Value:`
12:34:08   headertext name ccusaddress    Value:
12:34:08   headertext name ccusperson    Value:
12:34:08   headertext name coppcode    Value:
12:34:08   headertext name ccusdefine1    Value:
12:34:08   headertext name ccusdefine2    Value:
12:34:08   headertext name ccusdefine3    Value:
12:34:08   headertext name ccusdefine4    Value:
12:34:08   headertext name ccusdefine5    Value:
12:34:08   headertext name ccusdefine6    Value:
12:34:08   headertext name ccusdefine7    Value:
12:34:08   headertext name ccusdefine8    Value:
12:34:08   headertext name ccusdefine9    Value:
12:34:08   headertext name ccusdefine10    Value:
12:34:08   headertext name ccusdefine11    Value:
12:34:08   headertext name ccusdefine12    Value:
12:34:08   headertext name ccusdefine13    Value:
12:34:08   headertext name ccusdefine14    Value:
12:34:08   headertext name ccusdefine15    Value:
12:34:08   headertext name ccusdefine16    Value:
12:34:08   headertext name icuscreline    Value:0.00
12:34:09   headertext name id    Value:1000001550
12:34:09   headertext name ufts    Value:                     1271.2002
12:34:09   headertext name ccrechppass    Value:
12:34:09   headertext name clowpricepass    Value:
12:34:09   headertext name bcontinue    Value:
12:34:09   headertext name fstockquan    Value:
12:34:09   headertext name fcanusequan    Value:
12:34:09   headertext name cdefine2    Value:
12:34:09   headertext name cdefine3    Value:
12:34:09   headertext name cdefine4    Value:
12:34:09   headertext name cdefine5    Value:
12:34:09   headertext name cdefine6    Value:
12:34:09   headertext name cdefine7    Value:0.000000
12:34:09   headertext name cdefine8    Value:
12:34:09   headertext name cdefine9    Value:
12:34:09   headertext name cdefine10    Value:
12:34:09   headertext name cdefine11    Value:
12:34:09   headertext name cdefine12    Value:
12:34:09   headertext name cdefine13    Value:
12:34:09   headertext name cdefine14    Value:
12:34:09   headertext name cdefine15    Value:
12:34:09   headertext name cdefine16    Value:
12:34:09   headertext name ccushand    Value:
12:34:09   headertext name cpsnophone    Value:
12:34:09   headertext name cpsnmobilephone    Value:
12:34:09   headertext name cofficephone    Value:
12:34:09   headertext name cmobilephone    Value:
12:34:09   headertext name clocker    Value:
12:34:09   headertext name caddcode    Value:
12:34:09   headertext name cdeliverunit    Value:
12:34:09   headertext name ccontactname    Value:
12:34:09   headertext name ccreditcuscode    Value:A3MCL
12:34:09   headertext name ccreditcusname    Value:3M材料技术(苏州)有限公司
12:34:09   headertext name iverifystate    Value:0
12:34:09   headertext name ireturncount    Value:0
12:34:09   headertext name icreditstate    Value:
12:34:09   headertext name iswfcontrolled    Value:0
12:34:09   headertext name fstockquanO    Value:
12:34:09   headertext name fcanusequanO    Value:
